# time(s),voltage(V),current(A),cycle_num,exp_num,voltage_applied(V)
505030.712157,-0.297017,0.000000529,0,0,-0.291992
507530.864198,-0.297475,-0.000000973,0,0,-0.292392
510031.016238,-0.297216,-0.000000468,0,0,-0.292793
512531.168278,-0.299703,0.000004132,0,0,-0.293194
515031.320319,-0.299214,0.000000270,0,0,-0.293595
517531.472359,-0.299749,0.000002635,0,0,-0.293996
520031.624399,-0.299596,-0.000001206,0,0,-0.294396
522531.776440,-0.299321,-0.000001247,0,0,-0.294797
525031.928480,-0.299519,0.000000537,0,0,-0.295198
527532.080521,-0.302098,0.000004793,0,0,-0.295599
530032.232561,-0.301686,-0.000002017,0,0,-0.295999
532532.384601,-0.301625,-0.000004329,0,0,-0.296400
535032.536642,-0.302357,0.000005000,0,0,-0.296801
537532.688682,-0.302617,0.000004726,0,0,-0.297202
540032.840722,-0.302052,-0.000001747,0,0,-0.297603
542532.992763,-0.304128,-0.000004708,0,0,-0.298003
545033.144803,-0.304845,0.000005000,0,0,-0.298404
547533.296844,-0.304845,0.000004767,0,0,-0.298805
550033.448884,-0.304463,-0.000000934,0,0,-0.299206
552533.600924,-0.304280,0.000000029,0,0,-0.299607
555033.752965,-0.304845,0.000001757,0,0,-0.300007
557533.905005,-0.306371,0.000001185,0,0,-0.300408
560034.057046,-0.307027,-0.000000928,0,0,-0.300809
562534.209086,-0.306859,-0.000000102,0,0,-0.301210
565034.361126,-0.307378,0.000003545,0,0,-0.301610
567534.513167,-0.306508,0.000000475,0,0,-0.302011
570034.665207,-0.307347,-0.000001272,0,0,-0.302412
572534.817247,-0.308583,-0.000000507,0,0,-0.302813
575034.969288,-0.309758,0.000004605,0,0,-0.303214
577535.121328,-0.308888,0.000000250,0,0,-0.303614
580035.273369,-0.309560,0.000002700,0,0,-0.304015
582535.425409,-0.309026,-0.000001277,0,0,-0.304416
585035.577449,-0.309041,-0.000001712,0,0,-0.304817
587535.729490,-0.308660,0.000000564,0,0,-0.305218
590035.881530,-0.312078,0.000004794,0,0,-0.305618
592536.033571,-0.311910,-0.000001707,0,0,-0.306019
595036.185611,-0.311818,-0.000003911,0,0,-0.306420
597536.337651,-0.311650,0.000000595,0,0,-0.306821
600036.489692,-0.313039,0.000004618,0,0,-0.307222
602536.641732,-0.311803,-0.000001820,0,0,-0.307622
