# time(s),voltage(V),current(A)
44.878886,2.628717,0.000004613
44.982965,3.170886,0.000004611
45.087088,3.649195,0.000004609
45.190905,3.091584,0.000004611
45.294559,2.191547,0.000004614
45.398855,3.087587,0.000004610
45.502708,3.212894,0.000004611
45.606808,3.106066,0.000004611
45.710850,3.062485,0.000004611
45.814461,3.045090,0.000004611
45.918775,3.231387,0.000004610
46.022795,3.107713,0.000004610
46.126416,3.102296,0.000004611
46.230675,2.934279,0.000004611
46.334741,3.236011,0.000004610
46.438615,3.407598,0.000004610
46.543035,3.102189,0.000004610
46.644358,3.027191,0.000004611
46.748680,3.049637,0.000004611
46.852485,3.223362,0.000004610
46.956651,3.106325,0.000004610
47.060227,3.099992,0.000004611
47.164313,2.967513,0.000004611
47.268238,3.238285,0.000004610
47.372094,3.439094,0.000004610
47.476106,3.097475,0.000004611
47.579985,2.502861,0.000004613
47.683966,3.237888,0.000004611
47.788178,3.582253,0.000004610
47.892014,3.103395,0.000004610
47.995903,2.658000,0.000004612
48.099784,3.165713,0.000004611
48.203786,3.699458,0.000004610
48.307714,3.093934,0.000004611
48.411683,2.554391,0.000004613
48.515945,3.079881,0.000004611
48.619791,3.222125,0.000004610
48.723635,3.101090,0.000004611
48.828015,3.075868,0.000004611
48.931556,3.037110,0.000004611
49.035755,3.233707,0.000004610
49.139661,3.136675,0.000004610
49.243646,3.110872,0.000004611
49.347570,2.842252,0.000004612
49.451510,3.244938,0.000004610
49.558094,3.495537,0.000004610
49.659265,3.097673,0.000004611
49.763566,2.491706,0.000004614
49.867764,3.182284,0.000004611
49.971417,3.494621,0.000004610
50.075374,3.100739,0.000004611
50.179153,2.583932,0.000004613
50.283446,3.132066,0.000004610
50.386885,3.291432,0.000004610
50.491272,3.097093,0.000004611
50.594895,2.877119,0.000004612
50.698901,3.062608,0.000004611
50.802883,3.223773,0.000004610
50.907332,3.093752,0.000004611
51.011697,2.669993,0.000004612
51.115885,3.073808,0.000004611
51.219787,3.220188,0.000004611
51.323782,3.098146,0.000004611
51.427628,3.081071,0.000004611
51.531560,3.033478,0.000004610
51.635517,3.238560,0.000004610
51.739560,3.149675,0.000004610
51.843602,3.108644,0.000004610
51.947932,2.862027,0.000004612
52.051485,3.243183,0.000004610
52.155334,3.477119,0.000004609
52.259252,3.097093,0.000004611
52.363335,2.515541,0.000004613
52.467628,3.245090,0.000004611
52.571139,3.597451,0.000004610
52.675490,3.102830,0.000004611
52.779395,2.649454,0.000004613
52.883577,3.165881,0.000004611
52.987751,3.709910,0.000004610
53.091347,3.093919,0.000004610
53.195118,2.340657,0.000004613
53.298917,3.076508,0.000004610
53.402980,3.219775,0.000004610
53.506826,3.149325,0.000004610
53.609751,3.105653,0.000004610
53.714118,2.773678,0.000004612
53.818068,3.256290,0.000004609
53.921899,3.518669,0.000004610
54.025858,3.095186,0.000004611
54.129854,2.476127,0.000004613
54.234334,3.172060,0.000004610
54.337821,3.510139,0.000004610
54.441756,3.103471,0.000004610
54.545678,2.575586,0.000004613
54.650120,3.131838,0.000004610
54.755694,3.420279,0.000004610
54.859444,3.106889,0.000004610
54.966447,3.170428,0.000004610
55.073533,3.100526,0.000004610
55.178857,2.318608,0.000004613
55.282389,3.076829,0.000004611
55.386333,3.219104,0.000004610
55.490290,3.099031,0.000004610
55.594283,3.080873,0.000004611
55.698039,3.036591,0.000004611
55.802201,3.235187,0.000004610
55.906041,3.158038,0.000004610
56.010196,3.104906,0.000004610
56.114184,2.835874,0.000004612
56.218794,3.228992,0.000004609
56.322709,3.104448,0.000004610
56.426769,3.101366,0.000004610
56.527504,3.099077,0.000004611
56.630853,2.972213,0.000004611
56.734828,3.232440,0.000004610
56.838876,3.342473,0.000004610
56.942815,3.109544,0.000004610
57.046957,2.648142,0.000004613
57.150885,3.278721,0.000004610
57.254667,3.573281,0.000004610
57.358550,3.092012,0.000004610
57.462744,2.489692,0.000004613
57.566822,3.173724,0.000004610
57.670625,3.508843,0.000004610
57.774769,3.102037,0.000004610
57.878656,2.471641,0.000004613
57.982642,3.125200,0.000004611
58.086874,3.416403,0.000004610
58.192581,3.106263,0.000004611
58.296539,2.641138,0.000004613
58.400594,3.278996,0.000004611
58.504451,3.628671,0.000004610
58.608387,3.099733,0.000004611
58.712397,2.634134,0.000004612
58.816404,3.174441,0.000004611
58.920358,3.574319,0.000004610
59.024231,3.095110,0.000004611
59.128034,2.195224,0.000004615
59.232455,3.090013,0.000004611
59.336321,3.215442,0.000004610
59.440184,3.101488,0.000004610
59.544026,3.047806,0.000004611
59.648228,3.048065,0.000004611
59.752034,3.226444,0.000004611
59.855828,3.110612,0.000004611
59.959852,3.091005,0.000004611
60.063874,3.005920,0.000004611
60.167843,3.231143,0.000004610
60.272033,3.355062,0.000004610
60.375641,3.108705,0.000004611
60.479544,2.666636,0.000004613
60.583605,3.280476,0.000004610
60.687968,3.220951,0.000004610
60.789492,3.099000,0.000004611
60.893646,3.078843,0.000004610
60.997440,3.034516,0.000004611
61.101494,3.232852,0.000004610
61.205436,3.166170,0.000004610
61.309219,3.106630,0.000004610
61.413120,2.807950,0.000004612
61.517301,3.246097,0.000004610
61.621070,3.494118,0.000004610
61.725252,3.092683,0.000004610
61.829248,2.485954,0.000004614
61.932800,3.189288,0.000004610
62.037243,3.508888,0.000004610
62.141172,3.100832,0.000004611
62.245109,2.657557,0.000004612
